,RF_Global,RF_Faixa1,RF_Faixa2,RF_Faixa3
2019-06-13 10:00:00,4.1985041312152935,,,4.185522536244845
2019-06-13 11:00:00,4.777980488961431,,,4.781258995851468
2019-06-13 12:00:00,3.526749938016465,,,3.5372389850304518
2019-06-13 13:00:00,4.793255551443296,,,4.802350370392924
2019-06-13 14:00:00,2.7887472401273152,,2.7917730240067247,
2019-06-13 15:00:00,2.257820366152809,,2.228695752367115,
2019-06-13 16:00:00,0.934975155515971,0.9318460322697699,,
2019-06-13 17:00:00,0.6901864822557157,0.688167476296219,,
2019-06-14 04:00:00,0.3060162216008304,0.3067659525758862,,
2019-06-14 05:00:00,0.3760609565331892,0.3767658569285295,,
2019-06-14 06:00:00,0.850364240710282,0.8482792859588462,,
2019-06-14 07:00:00,2.293310228498017,,2.2908199861111074,
2019-06-14 08:00:00,3.6437802535282686,,,3.649963056471531
2019-06-14 09:00:00,4.642460612518137,,,4.704926323772019
2019-06-14 10:00:00,5.057654472649674,,,5.219319605678532
2019-06-14 11:00:00,5.586186776337705,,,5.651659256172057
2019-06-14 12:00:00,5.554277513288611,,,5.57051021421917
2019-06-14 13:00:00,5.135949188921581,,,5.1552791103006665
2019-06-14 14:00:00,3.054293382227042,,3.04630401863119,
2019-06-14 15:00:00,1.7853209257074447,1.7879806544636745,,
2019-06-14 16:00:00,0.6264939230329035,0.6337561689628476,,
2019-06-14 17:00:00,0.32692896531746,0.32660873814814795,,
2019-06-15 04:00:00,0.39490646079836944,0.3960564935893746,,
2019-06-15 05:00:00,0.8068143249388775,0.8130199203813757,,
2019-06-15 06:00:00,0.8556395457843772,0.8552273010685286,,
2019-06-15 07:00:00,0.6191839090234911,0.620860234206348,,
2019-06-15 08:00:00,0.8827128566471392,0.8842683011370608,,
2019-06-15 09:00:00,0.8934576404599527,0.8907442571940817,,
2019-06-15 13:00:00,1.6555450880991418,1.6486088478832819,,
2019-06-15 14:00:00,2.184509133556933,,2.1807304893775563,
2019-06-15 15:00:00,1.4930614492624514,1.4966777149473225,,
2019-06-15 16:00:00,0.9056035369589871,0.9064273919420583,,
2019-06-15 17:00:00,0.3538733490454979,0.34980249047619016,,
2019-06-16 05:00:00,0.5392855331982063,0.5414919430322613,,
2019-06-16 06:00:00,0.9987707440656562,0.9949918600565981,,
2019-06-16 07:00:00,2.1802172531491126,,2.187756900854257,
2019-06-16 08:00:00,3.764392618250105,,,3.759364437763133
2019-06-16 09:00:00,4.648174969444447,,,4.7856101250362695
2019-06-16 10:00:00,5.395986819309498,,,5.478294535417883
2019-06-16 11:00:00,5.722528630565447,,,5.847711327618442
2019-06-16 12:00:00,5.718707002361645,,,5.798505608366858
